Bug_id,Timestamp,Product
322061,2006-01-01 07:54:15,Bugzilla
322082,2006-01-01 12:58:25,Bugzilla
322112,2006-01-02 02:08:50,Bugzilla
322122,2006-01-02 07:22:12,Bugzilla
322190,2006-01-03 01:55:54,Bugzilla
322212,2006-01-03 07:04:54,Bugzilla
322224,2006-01-03 08:37:52,Bugzilla
322231,2006-01-03 09:50:41,Bugzilla
322244,2006-01-03 11:35:28,Bugzilla
322304,2006-01-03 19:58:16,Bugzilla
322315,2006-01-04 00:00:19,Bugzilla
322412,2006-01-04 14:43:36,Bugzilla
322462,2006-01-05 03:57:23,Bugzilla
322620,2006-01-06 14:53:26,Bugzilla
322712,2006-01-07 16:15:20,Bugzilla
322728,2006-01-07 23:08:09,Bugzilla
322745,2006-01-08 05:34:33,Bugzilla
322771,2006-01-08 13:23:04,Bugzilla
322807,2006-01-08 22:59:22,Bugzilla
322819,2006-01-09 06:02:40,Bugzilla
322837,2006-01-09 09:58:20,Bugzilla
322848,2006-01-09 12:56:54,Bugzilla
322904,2006-01-10 01:47:16,Bugzilla
322905,2006-01-10 01:49:25,Bugzilla
322921,2006-01-10 05:27:48,Bugzilla
322954,2006-01-10 11:08:55,Bugzilla
322955,2006-01-10 11:12:23,Bugzilla
322960,2006-01-10 11:47:11,Bugzilla
322963,2006-01-10 12:01:27,Bugzilla
323031,2006-01-11 03:17:38,Bugzilla
323070,2006-01-11 11:41:55,Bugzilla
323100,2006-01-11 16:09:14,Bugzilla
323106,2006-01-11 18:06:50,Bugzilla
323113,2006-01-11 19:05:49,Bugzilla
323204,2006-01-12 10:57:37,Bugzilla
323268,2006-01-12 22:29:34,Bugzilla
323293,2006-01-13 03:51:54,Bugzilla
323294,2006-01-13 04:04:03,Bugzilla
323392,2006-01-14 02:13:02,Bugzilla
323521,2006-01-15 06:48:32,Bugzilla
323524,2006-01-15 07:05:19,Bugzilla
323525,2006-01-15 07:09:46,Bugzilla
323563,2006-01-15 15:44:33,Bugzilla
323575,2006-01-15 18:35:00,Bugzilla
323627,2006-01-16 07:17:40,Bugzilla
323642,2006-01-16 09:35:48,Bugzilla
323644,2006-01-16 10:01:47,Bugzilla
323721,2006-01-16 22:11:22,Bugzilla
323728,2006-01-16 23:14:14,Bugzilla
323766,2006-01-17 06:13:13,Bugzilla
323769,2006-01-17 06:38:10,Bugzilla
323905,2006-01-18 08:50:19,Bugzilla
323912,2006-01-18 11:06:38,Bugzilla
323955,2006-01-18 15:31:37,Bugzilla
323967,2006-01-18 17:34:56,Bugzilla
324098,2006-01-19 22:23:40,Bugzilla
324099,2006-01-19 22:23:44,Bugzilla
324101,2006-01-19 22:26:50,Bugzilla
324235,2006-01-21 03:59:11,Bugzilla
324243,2006-01-21 06:15:56,Bugzilla
324248,2006-01-21 07:17:18,Bugzilla
324265,2006-01-21 11:06:44,Bugzilla
324346,2006-01-22 10:28:38,Bugzilla
324398,2006-01-23 02:14:53,Bugzilla
324399,2006-01-23 02:21:34,Bugzilla
324413,2006-01-23 05:07:23,Bugzilla
324687,2006-01-25 10:25:40,Bugzilla
324689,2006-01-25 10:30:31,Bugzilla
