Bug_id,Timestamp,Status
322061,2006-01-01 12:13:13,RESOLVED
322082,2006-01-02 23:41:29,RESOLVED
322112,2006-01-02 23:46:53,VERIFIED
322122,2006-01-02 23:45:09,VERIFIED
322190,2012-08-24 11:50:41,RESOLVED
322212,2006-01-07 07:01:57,RESOLVED
322224,2006-01-07 05:59:58,RESOLVED
322231,2006-01-04 23:29:43,RESOLVED
322244,2006-01-05 06:14:34,RESOLVED
322304,2006-01-24 04:40:31,RESOLVED
322315,2006-01-05 06:06:10,RESOLVED
322412,2006-01-05 04:47:09,RESOLVED
322462,2006-07-06 10:44:51,RESOLVED
322620,2006-01-09 10:10:02,RESOLVED
322712,2006-01-09 11:40:03,RESOLVED
322728,2006-01-07 23:13:30,RESOLVED
322745,2006-01-09 00:17:55,VERIFIED
322771,2006-01-11 22:13:28,RESOLVED
322807,2006-01-11 17:37:38,RESOLVED
322819,2006-01-09 06:10:22,RESOLVED
322837,2006-01-09 10:22:10,VERIFIED
322848,2007-03-21 14:09:32,RESOLVED
322904,2006-01-10 01:51:13,RESOLVED
322905,2006-01-11 17:02:22,RESOLVED
322921,2006-01-10 10:18:49,RESOLVED
322954,2006-01-10 12:37:18,RESOLVED
322955,2009-01-23 12:13:01,RESOLVED
322960,2006-02-19 13:42:58,RESOLVED
322963,2007-11-20 11:29:49,RESOLVED
323031,2006-11-14 11:38:40,RESOLVED
323070,2006-01-11 11:54:19,RESOLVED
323100,2011-04-25 14:35:02,RESOLVED
323106,2006-05-22 15:24:02,RESOLVED
323113,2006-01-11 23:59:17,RESOLVED
323204,2006-01-12 11:33:45,RESOLVED
323268,2008-12-30 03:04:51,RESOLVED
323293,2006-06-03 05:30:41,RESOLVED
323294,2006-01-14 10:36:05,RESOLVED
323392,2006-01-22 13:54:09,RESOLVED
323521,2006-10-14 11:44:04,RESOLVED
323524,2006-01-26 08:40:47,RESOLVED
323525,2006-05-29 12:50:27,RESOLVED
323563,2006-01-27 02:32:05,RESOLVED
323575,2006-01-16 01:32:52,RESOLVED
323627,2006-02-21 04:49:14,RESOLVED
323642,2006-01-16 11:13:15,VERIFIED
323644,2006-01-16 11:14:49,VERIFIED
323721,2006-01-26 13:35:42,RESOLVED
323728,2006-01-17 10:55:00,RESOLVED
323766,2006-01-17 14:42:01,RESOLVED
323769,2006-01-19 10:50:55,RESOLVED
323905,2006-05-16 07:46:53,RESOLVED
323912,2006-03-08 14:54:23,RESOLVED
323955,2006-01-21 04:49:13,RESOLVED
323967,2006-01-19 02:31:03,RESOLVED
324098,2006-01-20 01:05:28,RESOLVED
324099,2006-01-19 22:43:46,RESOLVED
324101,2006-01-19 22:43:23,RESOLVED
324235,2010-03-21 09:56:19,RESOLVED
324243,2006-01-21 06:19:08,RESOLVED
324248,2006-01-22 11:12:36,RESOLVED
324265,2006-01-21 11:08:09,RESOLVED
324346,2006-02-07 13:46:51,RESOLVED
324398,2006-01-23 02:16:17,RESOLVED
324399,2006-07-13 23:06:35,RESOLVED
324413,2008-01-02 13:34:13,RESOLVED
324687,2006-01-26 04:58:55,VERIFIED
324689,2006-01-26 04:58:29,VERIFIED
324734,2006-07-13 23:16:06,RESOLVED
324784,2006-05-29 13:05:56,RESOLVED
324788,2006-01-26 04:52:33,RESOLVED
324990,2007-10-03 04:39:03,RESOLVED
325037,2006-01-28 04:03:36,RESOLVED
325048,2006-02-07 13:25:45,RESOLVED
325079,2006-02-20 15:25:12,RESOLVED
325195,2006-01-30 00:24:51,RESOLVED
