Bug_id,Timestamp,Status
322043,2006-02-07 14:16:09,RESOLVED
322054,2008-04-20 22:57:54,RESOLVED
322057,2006-01-01 06:19:56,RESOLVED
322058,2006-01-01 12:24:31,RESOLVED
322065,2006-01-01 09:33:17,VERIFIED
322067,2007-07-04 05:35:04,RESOLVED
322075,2006-01-01 12:47:01,RESOLVED
322077,2006-10-31 05:56:26,RESOLVED
322080,2009-08-26 13:06:30,RESOLVED
322081,2007-06-06 06:25:48,RESOLVED
322094,2006-01-02 10:00:16,RESOLVED
322096,2007-06-06 12:32:56,RESOLVED
322101,2006-01-02 00:37:00,RESOLVED
322108,2007-07-04 05:35:51,RESOLVED
322114,2010-05-22 15:13:06,RESOLVED
322117,2006-01-08 21:02:27,RESOLVED
322119,2006-01-02 05:49:01,RESOLVED
322120,2006-01-02 13:12:50,RESOLVED
322125,2006-01-02 19:01:15,VERIFIED
322130,2006-01-02 19:08:14,RESOLVED
322132,2006-01-02 10:34:31,VERIFIED
322137,2007-09-11 02:40:09,RESOLVED
322141,2006-04-08 17:05:52,RESOLVED
322142,2006-01-02 19:15:58,VERIFIED
322146,2007-06-04 04:59:53,RESOLVED
322147,2006-01-06 04:38:51,RESOLVED
322151,2006-04-04 04:07:35,RESOLVED
322159,2006-04-08 17:03:54,RESOLVED
322166,2007-01-24 05:00:56,RESOLVED
322168,2006-01-17 22:13:09,RESOLVED
322169,2006-07-19 03:52:41,RESOLVED
322178,2007-06-06 06:45:46,RESOLVED
322179,2007-08-31 13:51:02,RESOLVED
322184,2006-01-03 02:29:41,RESOLVED
322188,2006-01-05 08:32:59,RESOLVED
322189,2006-01-03 18:53:20,RESOLVED
322191,2006-01-03 02:48:53,VERIFIED
322197,2006-01-03 18:39:50,RESOLVED
322206,2012-10-10 15:21:28,VERIFIED
322211,2006-01-03 07:22:18,RESOLVED
322213,2006-01-03 11:27:36,RESOLVED
322216,2006-01-03 11:51:44,RESOLVED
322220,2006-01-03 19:09:24,RESOLVED
322223,2006-01-03 08:57:16,RESOLVED
322225,2006-01-03 18:47:28,RESOLVED
322228,2006-01-03 09:13:16,RESOLVED
322235,2006-01-03 18:40:58,RESOLVED
322250,2006-01-03 16:22:41,RESOLVED
322257,2007-06-07 06:06:53,RESOLVED
322262,2006-01-03 14:25:19,RESOLVED
322268,2008-12-10 11:46:53,RESOLVED
322269,2010-05-15 07:50:01,RESOLVED
322275,2006-01-04 02:53:44,VERIFIED
322279,2006-01-04 02:44:37,VERIFIED
322282,2007-07-25 05:03:30,RESOLVED
322289,2006-03-20 13:09:08,RESOLVED
322290,2006-01-27 12:24:03,RESOLVED
322291,2006-01-03 19:01:33,RESOLVED
322294,2007-07-04 05:36:50,RESOLVED
322296,2006-01-03 19:22:37,RESOLVED
322298,2006-11-26 04:39:07,RESOLVED
322302,2006-01-14 13:25:40,RESOLVED
