Bug_id,Timestamp,Severity
322043,2005-12-31 23:23:11,normal
322054,2006-01-01 04:18:10,normal
322057,2006-01-01 04:54:31,major
322058,2006-01-01 05:00:59,normal
322065,2006-01-01 08:43:56,major
322067,2006-01-01 09:10:56,normal
322075,2006-01-01 11:08:45,major
322077,2006-01-01 12:08:31,normal
322080,2006-01-01 12:52:24,critical
322081,2006-01-01 12:54:33,normal
322094,2006-01-01 17:04:36,critical
322096,2006-01-03 11:49:44,minor
322101,2006-01-01 21:48:38,normal
322108,2006-01-02 00:30:19,normal
322114,2006-01-02 02:31:36,normal
322117,2006-01-02 02:59:42,normal
322119,2006-01-02 05:36:23,major
322120,2006-01-02 07:00:00,major
322125,2006-01-02 08:39:06,normal
322130,2006-01-02 09:26:25,normal
322132,2006-01-02 09:51:28,normal
322137,2006-01-02 11:35:41,normal
322141,2006-01-02 13:00:33,critical
322142,2006-01-02 13:03:01,critical
322146,2006-01-02 13:30:30,critical
322147,2006-01-02 13:41:34,normal
322151,2006-01-02 14:19:25,normal
322159,2006-01-02 15:45:06,normal
322166,2006-01-02 17:11:01,normal
322168,2006-01-02 17:25:29,normal
322169,2006-01-02 17:25:41,normal
322178,2006-01-02 20:09:01,normal
322179,2006-01-02 20:27:15,normal
322184,2006-01-02 23:14:26,major
322188,2006-01-03 01:28:39,critical
322189,2006-01-03 01:53:26,normal
322191,2006-01-03 02:18:51,critical
322197,2006-01-03 18:40:02,normal
322206,2006-01-03 06:22:12,normal
322211,2006-01-03 06:51:16,normal
322213,2006-01-03 07:07:42,normal
322216,2006-01-03 07:55:33,major
322220,2006-01-03 08:14:29,normal
322223,2006-01-03 08:37:11,major
322225,2006-01-03 08:38:06,major
322228,2006-01-03 09:10:41,major
322235,2006-01-03 10:54:37,critical
322250,2006-01-03 12:08:47,normal
322257,2006-01-03 12:50:53,normal
322262,2006-01-03 13:23:48,normal
322268,2006-01-03 14:28:45,normal
322269,2006-01-03 14:29:00,normal
322275,2006-01-03 15:58:56,normal
322279,2006-01-03 16:07:00,normal
322282,2006-01-03 16:24:00,normal
322289,2006-01-03 16:56:09,normal
322290,2006-01-10 13:54:14,major
322291,2006-01-03 17:13:47,minor
322294,2006-01-03 17:40:12,critical
322296,2006-01-03 18:50:53,normal
322298,2006-01-03 19:04:15,critical
322302,2006-01-03 20:12:06,normal
322306,2006-01-03 20:46:07,normal
322307,2006-01-03 21:36:10,major
322311,2006-01-03 23:09:16,normal
322313,2006-01-03 23:45:04,critical
322336,2006-01-04 03:16:04,normal
322349,2006-01-04 06:08:21,normal
322353,2006-01-04 06:42:31,normal
322357,2006-01-04 07:00:35,normal
322365,2006-01-04 08:01:38,normal
322369,2006-01-04 08:35:13,normal
322371,2006-01-04 09:09:25,normal
322375,2006-01-04 09:33:00,minor
322378,2006-01-04 09:37:10,normal
322379,2006-01-04 09:41:52,normal
322384,2006-01-04 10:26:26,normal
322387,2006-01-04 10:32:22,normal
322390,2006-01-04 10:43:54,normal
322396,2006-01-04 11:21:23,normal
322397,2006-01-04 11:26:44,normal
322405,2006-01-04 12:58:56,minor
322411,2006-01-04 14:39:19,normal
322420,2006-01-04 15:37:30,normal
322421,2006-01-04 15:38:10,minor
322425,2006-01-04 16:10:06,normal
322428,2006-01-04 16:54:16,normal
322431,2006-01-04 18:27:40,major
322433,2006-01-04 18:53:56,critical
322444,2008-10-04 00:40:44,critical
322447,2006-01-04 23:37:06,normal
322448,2006-01-04 23:56:31,normal
322456,2006-01-05 01:41:18,normal
322460,2006-01-05 03:38:22,normal
322478,2006-01-05 05:57:55,normal
322481,2006-01-05 06:23:11,minor
322487,2006-01-05 06:59:55,normal
322489,2006-01-05 07:16:56,normal
322491,2006-01-05 07:31:39,normal
322502,2006-01-05 10:42:37,normal
322503,2006-01-05 10:43:41,normal
322506,2006-01-05 11:18:28,major
322507,2006-01-05 11:21:32,normal
322511,2006-01-05 11:32:44,normal
322516,2006-01-05 12:33:18,normal
322517,2006-01-05 12:35:01,minor
322519,2006-01-05 12:56:02,minor
322521,2006-01-05 13:51:48,critical
322523,2006-01-05 14:22:42,critical
322532,2006-01-05 17:19:01,normal
322538,2006-01-05 19:20:31,major
322539,2006-01-05 19:44:57,normal
322540,2006-01-05 20:33:11,major
322545,2006-01-05 21:21:57,trivial
322546,2006-01-05 21:33:58,normal
322551,2006-01-05 23:10:21,minor
322552,2006-01-06 00:16:10,normal
322554,2006-01-06 00:37:23,normal
322556,2006-01-06 01:13:50,trivial
322557,2006-01-06 01:14:40,normal
322559,2006-01-06 01:32:46,normal
322563,2006-01-06 04:17:58,critical
322579,2006-01-06 07:58:13,normal
322582,2006-01-06 08:35:11,critical
322583,2006-01-06 08:56:42,normal
322586,2006-01-06 09:26:30,normal
322587,2006-01-06 09:43:35,normal
322601,2006-01-08 19:49:17,critical
322610,2006-01-06 13:53:39,minor
322614,2006-01-06 14:12:23,major
322616,2006-01-06 14:26:34,normal
322623,2006-01-06 15:06:40,normal
322629,2006-01-06 16:42:11,normal
322630,2006-01-06 16:42:32,normal
322631,2006-01-06 17:07:57,trivial
322632,2006-01-06 17:20:07,major
322633,2006-01-06 17:22:00,normal
322640,2006-01-06 19:07:08,normal
322643,2006-01-06 20:02:15,major
322645,2006-01-06 20:24:06,major
322648,2006-01-06 21:42:46,normal
322650,2006-01-06 23:39:45,major
322651,2006-01-07 00:19:57,normal
322659,2006-01-07 03:45:16,critical
322662,2006-01-07 05:11:15,normal
322664,2006-01-07 05:46:18,normal
322665,2006-01-07 06:06:42,normal
322669,2006-01-07 06:25:24,normal
322671,2006-01-07 06:46:02,normal
322674,2006-01-08 19:49:51,critical
322675,2006-01-07 07:44:49,major
