Bug_id,Timestamp,Severity
322045,2006-01-01 01:34:48,critical
322051,2006-01-01 03:08:39,normal
322052,2006-01-01 03:11:58,normal
322056,2006-01-01 04:42:52,critical
322063,2006-01-01 08:28:35,normal
322079,2006-01-01 12:44:52,normal
322084,2006-01-01 18:49:29,critical
322106,2006-01-01 23:51:06,normal
322129,2006-01-02 09:21:50,normal
322131,2006-08-11 14:36:39,critical
322135,2006-01-02 10:56:40,normal
322143,2006-01-02 13:09:58,critical
322152,2006-01-02 14:27:10,normal
322154,2006-01-02 15:04:03,normal
322161,2006-01-02 16:04:24,normal
322162,2006-01-02 16:11:53,critical
322170,2006-01-02 17:27:21,major
322172,2006-01-02 19:25:27,normal
322175,2006-01-02 19:44:55,minor
322177,2006-01-02 19:49:59,minor
322185,2006-01-02 23:29:58,critical
322202,2006-01-03 05:43:04,major
322203,2006-01-03 05:45:47,major
322207,2006-01-03 06:28:14,normal
322215,2006-01-03 07:46:07,normal
322236,2006-01-03 11:11:43,normal
322238,2006-01-03 11:22:27,normal
322270,2006-01-03 14:31:59,normal
322293,2006-01-03 17:39:38,normal
322309,2006-01-03 21:51:11,minor
322312,2006-01-03 23:09:22,normal
322314,2006-01-03 23:43:13,critical
322317,2006-01-04 00:56:38,major
322318,2006-01-04 01:07:46,normal
322319,2006-01-04 01:18:20,normal
322321,2006-01-04 01:24:37,normal
322331,2006-01-04 02:48:56,normal
322338,2006-01-04 03:33:48,minor
322345,2006-01-04 05:10:17,normal
322348,2006-01-04 05:49:33,critical
322351,2006-01-04 06:16:08,critical
322376,2006-01-04 09:34:52,normal
322389,2006-01-04 10:40:01,critical
322394,2006-01-04 11:00:58,normal
322403,2006-01-04 12:33:28,normal
322407,2006-01-04 13:22:45,normal
322414,2006-01-04 18:25:56,critical
322417,2006-01-04 15:23:38,normal
322424,2006-05-17 03:45:14,minor
322429,2006-01-04 16:58:52,normal
322430,2006-01-04 17:44:44,normal
322436,2006-01-04 19:38:39,normal
322443,2006-01-04 22:22:30,minor
322450,2006-01-05 00:10:18,normal
322452,2006-01-05 00:33:04,normal
322453,2006-01-05 00:50:28,critical
322461,2006-01-05 03:45:42,normal
322463,2006-01-05 04:01:29,critical
322480,2006-01-05 06:06:53,major
322484,2006-01-05 06:31:07,normal
322496,2006-01-05 09:42:16,normal
322499,2006-01-05 10:04:08,normal
322504,2006-01-05 10:49:23,critical
322512,2006-01-05 11:46:50,normal
322513,2006-01-05 12:02:12,normal
322528,2006-01-05 15:47:02,major
322530,2006-01-05 16:18:02,critical
322547,2006-01-05 22:14:27,minor
322549,2006-01-05 22:22:54,normal
322561,2006-01-06 03:20:54,normal
322565,2006-01-06 04:51:38,normal
322567,2006-01-06 05:33:42,major
322570,2006-01-06 06:41:13,normal
322574,2006-01-06 07:34:27,normal
322578,2006-01-06 07:56:46,normal
322581,2006-01-06 08:30:44,normal
322588,2006-01-06 09:58:26,normal
322597,2006-01-06 11:21:14,normal
322609,2006-01-06 13:24:01,minor
322612,2006-01-06 14:11:20,normal
322636,2006-01-06 18:22:25,critical
322647,2006-01-06 20:58:11,normal
322652,2006-01-07 00:31:55,critical
322656,2006-01-07 02:17:36,critical
322657,2006-01-07 02:47:42,normal
322668,2006-01-07 06:24:58,minor
322672,2006-01-07 07:08:49,normal
322678,2006-01-07 08:03:48,critical
322680,2006-01-07 08:20:23,normal
322683,2006-01-07 08:24:12,critical
322685,2006-01-07 08:37:58,normal
322686,2008-09-16 05:19:03,major
322688,2006-01-07 09:49:27,normal
322689,2006-01-07 10:06:54,normal
322697,2006-01-07 12:19:55,normal
322700,2006-01-07 13:21:53,critical
322701,2006-01-11 15:59:11,blocker
322707,2006-01-07 14:08:48,minor
322720,2006-01-07 18:52:19,minor
322724,2006-01-07 19:37:27,normal
322725,2006-01-07 22:27:56,normal
322726,2006-01-07 22:55:30,normal
322727,2006-01-07 22:58:40,normal
322732,2006-01-08 00:12:04,normal
322740,2006-01-08 04:10:46,critical
322744,2006-01-08 05:27:04,normal
322747,2006-01-08 07:13:37,normal
322754,2006-01-08 08:00:38,normal
322764,2006-01-08 15:26:29,blocker
322767,2006-01-08 12:52:35,minor
322773,2006-01-08 14:31:38,normal
322774,2006-01-08 14:31:40,normal
322776,2006-01-08 14:48:20,normal
322779,2006-01-08 15:27:44,normal
322780,2006-01-08 15:45:23,normal
322783,2006-01-08 16:09:23,normal
322784,2006-01-08 16:16:07,normal
322786,2006-01-08 16:28:41,normal
322798,2006-01-08 20:51:30,normal
322804,2006-01-08 22:13:03,normal
322806,2006-01-09 15:07:33,critical
322812,2006-01-09 03:36:50,normal
322813,2006-01-09 03:44:43,normal
322820,2006-01-09 06:04:27,critical
322824,2006-01-09 07:18:43,normal
322836,2006-01-09 09:53:30,normal
322838,2006-01-10 11:02:40,critical
322860,2006-01-09 14:29:11,critical
322879,2006-01-09 17:06:00,normal
322881,2006-01-09 17:27:07,normal
322889,2006-01-09 20:21:42,normal
